amp,attack,back,bad,batteri,can,charm,come,day,die,dont,even,feel,forc,get,good,got,gun,gunna,home,hope,just,kill,killer,know,last,like,lol,look,love,make,miss,much,need,new,night,now,one,realli,right,sad,see,skill,sleep,steal,still,take,the,think,time,today,tri,want,watch,well,will,work,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08828653241796,0,0,0,0,0,0,0,0,0,0,4.69797146255034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4.42164023410309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36964559646483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60486205815886,0,0,0,0,0,0,0,0,4.74136405806372,0,0
5.00660273482425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3632760715891,0,0,0,0,3.36964559646483,0,0,0,0,0,0,0,0,0,0,0,0,5.36539612346347,0,0,0,0,0,0,0,0,0,0,5.01989955743771,0,0,4.60235955095569,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52567360688745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73861344704769,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73861344704769,0,0,0,0,0
0,0,4.42164023410309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8032435056504,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01989955743771,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.64036073938025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36964559646483,0,0,0,0,0,0,0,0,0,0,0,0,5.36539612346347,5.04346802857611,0,0,0,0,0,0,5.29097128233692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36539612346347,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
