"","Target","ID","Date","flag","User","Text"
"57093",0,1685574762,"Sun May 03 01:01:11 PDT 2009","NO_QUERY","djorgensen","@gursky  ugh that's like one of my worst nightmares. You have insurance on theft?"
"89573",0,1755376521,"Sun May 10 08:59:06 PDT 2009","NO_QUERY","taluta","Just back fm beach, didn't take camera (fear of theft to gr8  ) but snuck phone in u/wear *G* will upload pics asa find bluetooth dongle.."
"146038",0,1882380151,"Fri May 22 06:46:03 PDT 2009","NO_QUERY","Ginaschreck","Still painful to think of the new MAC we just got for daughter being stolen from her car &amp; THEN learning about theft prevention software "
"149046",0,1883315471,"Fri May 22 08:21:20 PDT 2009","NO_QUERY","sydneyyBROWN","in school bored. and not wanting to go to my stupid anti theft class tomorrow  kill meeeee"
"171500",0,1963231487,"Fri May 29 12:24:32 PDT 2009","NO_QUERY","rwnin","@reverz - nice how the lifelock suit was brought by experian basically to reduce processing costs caused by ppl who don't want id theft "
"211884",0,1974598078,"Sat May 30 13:27:41 PDT 2009","NO_QUERY","Soph4Soph","police have given me a criime ref number, gonna ring back monday if keys still missing and they'll report it as theft!  joy oh joys!!"
"321709",0,2003900738,"Tue Jun 02 07:20:21 PDT 2009","NO_QUERY","Batsu_Sama","@jamieism *hugs* sorry to hear about your bike being nicked   Don't suppose you had it insured against theft?"
"366752",0,2048945960,"Fri Jun 05 16:02:12 PDT 2009","NO_QUERY","mattjolly","Just been out grooving to Stringer Bell's DJ skills until the night was cut short by my new housemate's phone theft "
"374033",0,2051158528,"Fri Jun 05 19:58:11 PDT 2009","NO_QUERY","solarnebula","2h20: Hears alarm 2h30: Lose Power, cable theft 2h40: Complex Breakin, call 10111, 2h45: 12x Policemen Marches down road 5am: Off to work "
"389311",0,2054428920,"Sat Jun 06 07:19:58 PDT 2009","NO_QUERY","TheGarrick87","Identity theft is a bitch...remember that...  http://myloc.me/2Nab"
"451855",0,2069876079,"Sun Jun 07 16:41:24 PDT 2009","NO_QUERY","burntbroccoli","@SadieH Aw that's rotten about the theft.  Glad you had fun tho!"
"483459",0,2180402718,"Mon Jun 15 10:25:21 PDT 2009","NO_QUERY","LiliMayBaby","@ChildhoodwayBtq thanks hon...just seems to be an ongoing saga with breakins and theft right now "
"490519",0,2183465652,"Mon Jun 15 14:32:35 PDT 2009","NO_QUERY","claytovich","#iremember when riots were more than just random vandalism they were lots of thefts with street resell.  i miss the old days. RODNEY KING!"
"503818",0,2187955635,"Mon Jun 15 21:03:57 PDT 2009","NO_QUERY","ZoeyBloom","Internet theft :The c-card owner doesn't pay, the cc company takes the money back from us and the retailer looses "
"523025",0,2192978501,"Tue Jun 16 07:49:35 PDT 2009","NO_QUERY","NVMY03ION","Is now a member of identity theft "
"523297",0,2193075779,"Tue Jun 16 07:57:51 PDT 2009","NO_QUERY","NVMY03ION","Rt now a victim of identity theft "
"526014",0,2194125289,"Tue Jun 16 09:22:40 PDT 2009","NO_QUERY","BrokenGrandma","@meataidstheft I feel badly that you had to worry about this. it's definitely  one of the worst feelings "
"533805",0,2197282792,"Tue Jun 16 13:34:54 PDT 2009","NO_QUERY","nette01","Suppose thefts and all crimes  will get worse as financial situation bites harder. "
"552992",0,2203526166,"Tue Jun 16 23:56:19 PDT 2009","NO_QUERY","Muthukumaran","&quot;There is only one sin, only one.  And that is theft.Every other sin is a variation of theft&quot; - a passage from Kite Runner..  "
"575714",0,2211211299,"Wed Jun 17 12:34:32 PDT 2009","NO_QUERY","Hipchick999","I've just been accused of Image Theft "
"612234",0,2224882489,"Thu Jun 18 10:02:53 PDT 2009","NO_QUERY","maximus_pug","@BusterBrown Oh no! That's heartwrenching news! You have my sympathies  I hope your mom will get you so more! And bite MissyLou for theft!"
"657050",0,2240816538,"Fri Jun 19 10:11:50 PDT 2009","NO_QUERY","tjinkerson","@ncacensorship &quot;Now put the Hemmingway down sweetheart, and get back to your Grand Theft Auto&quot; "
"669498",0,2246273139,"Fri Jun 19 17:20:57 PDT 2009","NO_QUERY","DuranDurandeeeh","@Whitney_ATL Yes... I just got it back duude!  &amp; Im sure it wasnt towed.. got the theft on camera but cant see dudes faceprayers plskthx"
"693586",0,2252772590,"Sat Jun 20 06:58:13 PDT 2009","NO_QUERY","james__buckley","In a car with joe and Blake for theft few hours "
"696096",0,2253428606,"Sat Jun 20 08:09:15 PDT 2009","NO_QUERY","FamousNtoB","@HoHoHolden awww I'm sory.  I was just trying to lighten the mood. But you have theft protection don't you?"
"697465",0,2253828445,"Sat Jun 20 08:48:23 PDT 2009","NO_QUERY","KanerFan88","i would totally skip my graduation party today to go see Love and Theft "
"740819",0,2266088529,"Sun Jun 21 07:53:00 PDT 2009","NO_QUERY","turbochicken","can't wear her orange dress because the anti-theft tag is still on. Can't  bring it back to the store - bought it in Berlin 2 years ago. "
"768855",0,2301150742,"Tue Jun 23 15:03:55 PDT 2009","NO_QUERY","AHSpey","@sarah_wallace Is your garage locked? Suburban garages are one of the top spots for bike theft.    #oldport"
"803501",4,1468391982,"Tue Apr 07 01:23:13 PDT 2009","NO_QUERY","mynamesjade","thinking of ideas and inspiration for raspberry soda photoshoot  while playing grand theft auto of corse"
"806633",4,1468851799,"Tue Apr 07 04:04:01 PDT 2009","NO_QUERY","teeahhurie","grand theft auto dosent make you a player. "
"921608",4,1754222777,"Sun May 10 05:28:39 PDT 2009","NO_QUERY","BenJacob","isn't this site : http://www.petterruud.no/ is a rip of Twitter UI designer @vl 's portfolio : http://www.vlourenco.com/ ?  #RIP #theft"
"925673",4,1755410463,"Sun May 10 09:04:10 PDT 2009","NO_QUERY","ChicagoSane","@thedevilslair Men are shitheads with no talent other than lies, theft, deception and control.  Well, boys are.  Us men have many talents "
"946132",4,1822575399,"Sat May 16 19:53:41 PDT 2009","NO_QUERY","liekomgkristen","@alexalltimelow Please come out and do Grand Theft Autumn tonight! "
"968989",4,1827911530,"Sun May 17 11:42:11 PDT 2009","NO_QUERY","shannonpaul","@jkimlosangeles So far it's hip hop, pumping gas and driving through the hood a la Grand Theft Auto.  Wheee"
"993002",4,1835327469,"Mon May 18 05:43:56 PDT 2009","NO_QUERY","shannonminion","@minteva @oops_pig yeah coz then you don't have to feel bad about copyright or bandwidth theft  "
